player,team,position,fumble_lost,pass_att,pass_comp,pass_int,pass_tds,pass_yds,rcv_rec,rcv_tds,rcv_yds,rush_att,rush_tds,rush_yds,fp,overall_rank,pos_rank,is_top_player,percent_average_position,percent_average_overall,percent_typical_position,percent_typical_overall,percent_median_position,percent_median_overall,positional_value,pos_value_remaining
A.J. Brown,TEN,WR,0.75,0.0,0.0,0.0,0.0,0.0,60.55,6.75,1081.25,4.25,0.7,51.8,156.5,64.0,11.0,True,1.4079552621090896,1.2153721557185173,1.2651576394502828,1.2277398603593002,1.4520992809093016,1.4003847702563643,0.0140795526210909,0.8272713287229172
A.J. Dillon,GB,RB,1.6,0.0,0.0,0.0,0.0,0.0,6.35,0.1,49.1,119.5,4.1,476.5,74.56,187.0,54.0,True,0.5940450752415928,0.579029699235608,0.6027485852869846,0.5849219424178238,0.6298095197871352,0.6671737282448214,0.008250626045022127,0.12885074400595775
A.J. Green,CIN,WR,1.5,0.0,0.0,0.0,0.0,0.0,67.7,5.95,1004.45,0.0,0.0,1.35,133.28,92.0,32.0,True,1.1990560852006356,1.0350466512087155,1.077445432497979,1.0455793520043932,1.2366504291347715,1.1926088318196055,0.011990560852006359,0.5517655219195694
Aaron Jones,GB,RB,1.8,0.0,0.0,0.0,0.0,0.0,40.65,2.05,342.75,203.3,10.15,890.9,192.96,43.0,12.0,True,1.5373784565265256,1.4985189211977323,1.5599029911075182,1.5137679453989175,1.6299362250285088,1.7266341550713615,0.021352478562868423,0.7037487454201611
Aaron Rodgers,GB,QB,3.2,563.8,353.4,7.1,26.05,4042.95,0.0,0.0,0.0,48.45,1.1,211.95,280.21,12.0,12.0,True,1.2482306783392711,2.1760986054561386,2.2652384801940175,2.1982427237781437,1.1089081483240333,2.5073598496711558,0.031205766958481772,0.5794276474119182
Adam Humphries,TEN,WR,0.75,0.0,0.0,0.0,0.0,0.0,43.7,2.8,453.5,1.35,0.0,6.0,61.25,223.0,95.0,True,0.5510368038605862,0.47566482132753474,0.49514955537590943,0.4805052169137836,0.5683136163303177,0.548073911681804,0.005510368038605863,0.02650644465656249
Adam Thielen,MIN,WR,0.75,0.0,0.0,0.0,0.0,0.0,76.3,7.55,1058.45,5.45,0.7,22.4,156.08,65.0,12.0,True,1.4041767240254743,1.2121104540865573,1.2617623282134196,1.2244449674433202,1.4482022732544653,1.3966265491476892,0.014041767240254747,0.8132295614826623
Adrian Peterson,DET,RB,0.6,0.0,0.0,0.0,0.0,0.0,8.5,0.2,68.5,93.6,2.4,338.3,55.08,240.0,70.0,True,0.4388412385234298,0.42774887116278554,0.4452708164915117,0.4321016709814074,0.4652616463234362,0.4928638539662655,0.006095017201714307,0.011914497133416413
Alex Smith,WAS,QB,0.0,36.75,23.5,1.25,2.0,255.25,0.0,0.0,0.0,6.25,0.0,20.75,19.04,355.0,39.0,True,0.0848160740715168,0.14786380731553078,0.15392077607113985,0.14936847885777044,0.07534924215441846,0.17037269025994362,0.0021204018517879198,0.0020146044904854055
Alexander Mattison,MIN,RB,1.7,0.0,0.0,0.0,0.0,0.0,8.75,0.2,69.2,141.35,3.1,619.1,85.23,168.0,48.0,True,0.6790566223556995,0.6618924525999312,0.6890056588520614,0.6686279124499883,0.7199391814841407,0.7626504406961658,0.009431341977162498,0.1810335192748832
Allen Lazard,GB,WR,0.75,0.0,0.0,0.0,0.0,0.0,56.0,4.0,769.65,1.5,0.0,20.55,101.52,141.0,58.0,True,0.913326633925334,0.788399880182389,0.8206952303961196,0.7964226876912215,0.9419624217118997,0.9084157308397834,0.009133266339253343,0.28415775936290233
